fecha,t,h3_id,active
2012-03-24,45,892a100d633ffff,1
2012-03-24,46,892a100d3cbffff,1
2012-03-24,46,892a1072c0fffff,1
2012-03-24,56,892a100d63bffff,1
2012-03-24,56,892a1072897ffff,1
2012-03-24,58,892a100882bffff,1
2012-03-24,59,892a1008b07ffff,1
2012-03-24,62,892a100892bffff,1
2012-03-24,62,892a1008b93ffff,1
2012-03-24,64,892a100d34bffff,1
2012-03-24,66,892a10725b7ffff,1
2012-03-24,68,892a100aa2bffff,1
2012-03-24,70,892a1008bbbffff,1
2012-03-24,72,892a1008ba3ffff,1
2012-03-24,73,892a100d227ffff,1
2012-03-24,75,892a100d257ffff,1
2012-03-24,75,892a100d25bffff,1
2012-03-24,76,892a100d62bffff,1
2012-03-24,77,892a1008b17ffff,1
2012-03-24,77,892a10721a3ffff,1
2012-03-24,79,892a1008b27ffff,1
2012-03-24,80,892a1072813ffff,1
2012-03-24,81,892a1072c0fffff,1
2012-03-24,83,892a1008b83ffff,1
2012-03-24,86,892a100d623ffff,1
2012-03-24,87,892a100d2d7ffff,1
2012-03-24,88,892a107281bffff,1
2012-03-24,88,892a1072c93ffff,1
2012-03-24,90,892a100d20bffff,1
2012-03-24,92,892a1008b03ffff,1
2012-03-24,92,892a10725a7ffff,1
2012-03-24,94,892a1072c93ffff,1
2012-03-24,98,892a10089b7ffff,1
2012-03-24,98,892a107288bffff,1
2012-03-24,99,892a10089a3ffff,1
2012-03-24,100,892a100d613ffff,1
2012-03-24,102,892a100d277ffff,1
2012-03-24,103,892a100d66bffff,1
2012-03-24,103,892a1072ccfffff,1
2012-03-24,104,892a10728d7ffff,1
2012-03-24,105,892a1008b87ffff,1
2012-03-24,106,892a1008b83ffff,1
2012-03-24,107,892a100ab6fffff,1
2012-03-24,108,892a100d257ffff,1
2012-03-24,108,892a100d64fffff,1
2012-03-24,109,892a100d613ffff,1
2012-03-24,112,892a100d20fffff,1
2012-03-24,114,892a1072c87ffff,1
2012-03-24,115,892a1008917ffff,1
2012-03-24,116,892a10089bbffff,1
2012-03-24,118,892a100d68fffff,1
2012-03-24,118,892a1072cc3ffff,1
2012-03-24,120,892a100d663ffff,1
2012-03-24,122,892a1008c3bffff,1
2012-03-24,122,892a1072ccbffff,1
2012-03-24,123,892a100d343ffff,1
2012-03-24,125,892a100d633ffff,1
2012-03-24,125,892a1072cbbffff,1
2012-03-24,126,892a100d2abffff,1
2012-03-24,127,892a100d353ffff,1
2012-03-24,128,892a100d22bffff,1
2012-03-24,129,892a100d6abffff,1
2012-03-24,129,892a10728c7ffff,1
2012-03-24,129,892a1072c13ffff,1
2012-03-24,130,892a1072cabffff,1
2012-03-24,132,892a1008bbbffff,1
2012-03-24,133,892a100d677ffff,1
2012-03-24,134,892a100d2c3ffff,1
2012-03-24,134,892a1072cb7ffff,1
2012-03-24,135,892a100882fffff,1
2012-03-24,135,892a1008b37ffff,1
2012-03-24,137,892a100d20bffff,1
2012-03-24,137,892a100d603ffff,1
2012-03-24,137,892a100d62fffff,1
2012-03-24,137,892a1072c87ffff,1
2012-03-24,140,892a1008ba3ffff,1
2012-03-24,141,892a1008b37ffff,1
2012-03-24,142,892a100d20bffff,1
2012-03-24,143,892a100d63bffff,1
2012-03-31,1,892a100d24bffff,1
2012-03-31,2,892a1008b97ffff,1
2012-03-31,2,892a1008bbbffff,1
2012-03-31,3,892a100d227ffff,1
2012-03-31,3,892a1072ca3ffff,1
2012-03-31,4,892a10721b3ffff,1
2012-03-31,5,892a100d207ffff,1
2012-03-31,7,892a1072cc3ffff,1
2012-03-31,10,892a100d257ffff,1
2012-03-31,10,892a1072587ffff,1
2012-03-31,11,892a100d213ffff,1
2012-03-31,12,892a1072517ffff,1
2012-03-31,12,892a107252fffff,1
2012-03-31,16,892a100d207ffff,1
2012-03-31,17,892a100d2d3ffff,1
2012-03-31,19,892a100d207ffff,1
2012-03-31,24,892a100d2bbffff,1
2012-03-31,27,892a1072c1bffff,1
2012-03-31,34,892a1008913ffff,1
2012-03-31,49,892a100d63bffff,1
2012-03-31,59,892a1072c67ffff,1
